nombre_comun,vegetacion,edad,emplazamiento,pap,DAP,altura_arbol,diametro_copa,tallos,raiz,raiz_expuesta,copa,densidad_copa,vitalidad
Guayabo,Arbusto,Juvenil,Escenario depor/cult,0,"0,04","3,9","4,5",2,Subterranea,No,Irregular,Medio (34 - 66%),Sano
Palma areca,Palma,Juvenil,Escenario depor/cult,0,"0,07","4,2","5,5",7,Subterranea,No,Aparasolada,Medio (34 - 66%),Sano
Mango,Arbol,Maduro,Escenario depor/cult,0,"0,19",8,9,5,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,0,"0,28","8,5","9,5",3,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
Chiminango,Arbol,Maduro,Escenario depor/cult,0,"0,22","8,5",8,4,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Guacimo,Arbol,Maduro,Escenario depor/cult,0,"0,21",8,9,5,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Palma africana,Palma,Maduro,Escenario depor/cult,"3,8","1,21",6,"8,5",1,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Palma africana,Palma,Maduro,Escenario depor/cult,"4,5","1,43","6,3",9,1,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
"Saman, Genizaro",Arbol,Juvenil,Escenario depor/cult,0,"0,12","4,6",6,2,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Longevo,Escenario depor/cult,"2,52","0,8",12,20,1,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
Chiminango,Arbol,Maduro,Escenario depor/cult,"1,22","0,39","7,8",7,1,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Chiminango,Arbol,Maduro,Escenario depor/cult,0,"0,28","7,8",7,3,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Noni,Arbusto,Maduro,Escenario depor/cult,"0,12","0,04",2,"2,2",1,Subterranea,No,Globosa,Alto (67 - 100%),Sano
Guacimo,Arbol,Maduro,Escenario depor/cult,0,"0,25","9,5",11,5,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Guacimo,Arbol,Maduro,Escenario depor/cult,0,"0,15",8,9,4,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
Ciruelo,Arbusto,Maduro,Escenario depor/cult,0,"0,11","5,5",10,12,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Totumo, Mate, Calabazo",Arbusto,Maduro,Escenario depor/cult,0,"0,07",4,3,7,Subterranea,No,Globosa,Medio (34 - 66%),Regular
"Totumo, Mate, Calabazo",Arbusto,Maduro,Escenario depor/cult,0,"0,09",4,3,4,Subterranea,No,Globosa,Medio (34 - 66%),Regular
Guacimo,Arbol,Maduro,Escenario depor/cult,0,"0,22",8,11,4,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Longevo,Escenario depor/cult,"2,86","0,91","11,5",25,1,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
"Saman, Genizaro",Arbol,Juvenil,Escenario depor/cult,"0,47","0,15","4,5","7,5",1,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Guacimo,Arbol,Longevo,Escenario depor/cult,0,"0,26",12,13,7,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
"Saman, Genizaro",Arbol,Longevo,Escenario depor/cult,0,"0,4","9,5",22,4,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
Chiminango,Arbol,Juvenil,Escenario depor/cult,0,"0,12","6,5","8,5",2,Subterranea,No,Aparasolada,Medio (34 - 66%),Sano
Guacimo,Arbol,Maduro,Escenario depor/cult,0,"0,16","8,5","9,5",7,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
"Chambimbe, Jaboncillo",Arbol,Juvenil,Escenario depor/cult,"0,14","0,04",5,2,1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Chiminango,Arbol,Maduro,Escenario depor/cult,0,"0,18",12,10,5,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Guacimo,Arbol,Maduro,Escenario depor/cult,0,"0,16",10,10,3,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
"Saman, Genizaro",Arbol,Longevo,Escenario depor/cult,"1,9","0,6",12,22,1,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Guacimo colorado,Arbol,Longevo,Escenario depor/cult,0,"0,48","11,5",10,2,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Guacimo colorado,Arbol,Maduro,Escenario depor/cult,0,"0,15",9,10,11,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Guacimo colorado,Arbol,Maduro,Escenario depor/cult,0,"0,3",10,11,5,Subterranea,No,Globosa,Alto (67 - 100%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Escenario depor/cult,0,"0,15",10,"7,5",2,Subterranea,No,Globosa,Alto (67 - 100%),Regular
"Saman, Genizaro",Arbol,Maduro,Escenario depor/cult,"2,06","0,66","10,5",20,1,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
Guacimo colorado,Arbol,Maduro,Escenario depor/cult,0,"0,3","12,5",11,7,Subterranea,No,Globosa,Alto (67 - 100%),Regular
"Saman, Genizaro",Arbol,Maduro,Escenario depor/cult,"1,35","0,43",12,20,1,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Juvenil,Escenario depor/cult,0,"0,11","6,5","5,4",2,Subterranea,No,Globosa,Medio (34 - 66%),Regular
"Biyuyo, Gomo",Arbusto,Maduro,Escenario depor/cult,"0,59","0,19",4,6,1,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Friega platos,Arbusto,Maduro,Escenario depor/cult,"0,24","0,08","3,6","4,5",1,Subterranea,No,Globosa,Alto (67 - 100%),Sano
"Nacedero, Madre de agua",Arbol,Maduro,Escenario depor/cult,0,"0,09","8,5","6,8",7,Subterranea,No,Globosa,Alto (67 - 100%),Regular
"Cachimbo, Pisamo, Bucaro",Arbol,Maduro,Escenario depor/cult,0,"0,54",12,13,4,Subterranea,No,Globosa,Alto (67 - 100%),Regular
Chiminango,Arbol,Longevo,Rondas de canales,0,"0,44","8,8","19,5",6,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,"0,78","0,25","10,2",7,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Juvenil,Escenario depor/cult,"0,55","0,18","6,5",8,1,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Juvenil,Escenario depor/cult,"0,56","0,18","6,5",8,1,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Juvenil,Escenario depor/cult,"0,38","0,12",6,5,1,Subterranea,No,Aparasolada,Bajo (0 - 33%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,"0,86","0,27","4,5",8,1,Subterranea,No,Globosa,Alto (67 - 100%),Regular
"Saman, Genizaro",Arbol,Juvenil,Anden,0,"0,2","6,5",9,2,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,0,"0,2","7,5",9,2,Subterranea,No,Globosa,Bajo (0 - 33%),Regular
"Limon swinglea, Swinglea",Arbol,Maduro,Escenario depor/cult,0,"0,1",7,5,3,Subterranea,No,Globosa,Alto (67 - 100%),Regular
"Limon swinglea, Swinglea",Arbol,Maduro,Escenario depor/cult,0,"0,07","6,5",5,5,Subterranea,No,Globosa,Alto (67 - 100%),Sano
"Limon swinglea, Swinglea",Arbol,Maduro,Escenario depor/cult,0,"0,05","6,5","4,5",6,Subterranea,No,Globosa,Alto (67 - 100%),Sano
"Limon swinglea, Swinglea",Arbol,Maduro,Escenario depor/cult,0,"0,08","5,8",4,3,Subterranea,No,Globosa,Alto (67 - 100%),Sano
"Limon swinglea, Swinglea",Arbol,Maduro,Escenario depor/cult,0,"0,08","5,6","4,5",4,Subterranea,No,Globosa,Alto (67 - 100%),Sano
